1E BCH1A 1E Station
1E BCH2A 1E Station
1E BCH2B 1E Station
1E MONT4 1E Station
1E MONT5 1E Station
1E MONT7 1E Station
1E MONT8 1E Station
1T MTSB  MTSB
BE RCHB  Rochefort, Belgium
BE UCC   BE Station
BE UCC   Uccle, Brussels, Belgium
BK MCCM  BK Station
BK SAO   BK Station
BL APOB  FAZENDA SAO GERONIMO - APORE - GO
BL APOB2 FAZENDA SAO JOAO - APORE - GO
BL AQDA  AQUIDAUANA - MS
BL AQDB  Aquidauana, MS
BL ARCA  Aracuai, MG
BL AREB  AREADO - MG
BL BAMB  BAMBUI - MG
BL BB15B FAZENDA CINTIA - BB - BEBEDOURO - SP
BL BB16B SITIO JOVAL - BB - BEBEDOURO - SP
BL BB19B Bebedouro 19, SP
BL BB22B Bebedouro 22, SP
BL BEB   BELEM - PA
BL BEB1  SITIO STO ANTONIO - BEBEDOURO - SP
BL BEB10 FAZENDA SANTA ZULMIRA - BEBEDOURO - SP
BL BEB11 ESTANCIA DOURADA - ANDES - SP
BL BEB12 ESTANCIA MONIDENI - BEBEDOURO - SP
BL BEB13 FAZENDA RIO TURVO - BEBEDOURO - SP
BL BEB14 SITIO PALMEIRAS - BEBEDOURO - SP
BL BEB15 FAZENDA CINTIA  BEBEDOURO - SP
BL BEB16 SITIO JOVAL -  BEBEDOURO - SP
BL BEB17 SITIO SAO LEOPOLDO - BEBEDOURO - SP
BL BEB18 SITIO SAO PEDRO - BEBEDOURO - SP
BL BEB19 FAZENDA SANTA ZULMIRA - BEBEDOURO - SP
BL BEB2  FAZENDA SAO LUIZ -  BEBEDOURO - SP
BL BEB20 FAZENDA VERANEIO - BEBEDOURO - SP
BL BEB21 SITIO SAO LEOPOLDO - BEBEDOURO - SP
BL BEB22 FAZENDA VERANEIO - BEBEDOURO - SP
BL BEB3  SITIO SAO FRANCISCO - BEBEDOURO -SP
BL BEB4  ESTANCIA DOURADA - BEBEDOURO - SP
BL BEB4A ESTANCIA DOURADA - BEBEDOURO - SP
BL BEB4B SITIO SANTA TEREZINHA - TAIACU - SP
BL BEB6  FAZENDA SAO GERALDO -  BEBEDOURO - SP
BL BEB7  FAZENDA STO ANTONIO
BL BEB8  FAZENDA VERANEIO - BEBEDOURO - SP
